Date : 2022-02-10 22:06:21
Directory : c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder
Total : 717 files,  144307 codes, 26065 comments, 18386 blanks, all 188758 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JavaScript         |        581 |     94,519 |     23,751 |     15,111 |    133,381 |
| JSON               |         52 |     23,376 |          7 |          3 |     23,386 |
| HTML               |         44 |     12,967 |        532 |      1,871 |     15,370 |
| SQL                |         24 |      9,289 |      1,668 |      1,089 |     12,046 |
| XML                |          4 |      2,707 |          0 |          4 |      2,711 |
| CSS                |          3 |        821 |         86 |         76 |        983 |
| Markdown           |          7 |        602 |          9 |        222 |        833 |
| YAML               |          1 |         18 |         12 |         10 |         40 |
| JSON with Comments |          1 |          8 |          0 |          0 |          8 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                        | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                           |        717 |    144,307 |     26,065 |     18,386 |    188,758 |
| Archiv                                                                                                                                      |        396 |     26,144 |      4,613 |      2,960 |     33,717 |
| Archiv\modelsAthletica2AdminCjs                                                                                                             |          7 |        439 |          0 |         16 |        455 |
| Archiv\modelsAthletica2AdminOld                                                                                                             |          6 |        250 |         11 |         13 |        274 |
| Archiv\modelsMeeting                                                                                                                        |         44 |      2,993 |          2 |         90 |      3,085 |
| Archiv\modelsMeetingCjs                                                                                                                     |         43 |      2,986 |          0 |         88 |      3,074 |
| Archiv\modelsMeetingDefine - pre 2021-09                                                                                                    |         46 |      2,973 |          0 |         94 |      3,067 |
| Archiv\modelsMeetingDefineDiszMod                                                                                                           |         45 |      2,950 |          0 |         92 |      3,042 |
| Archiv\modelsMeetingDiszMod                                                                                                                 |         45 |      2,941 |          0 |         92 |      3,033 |
| Archiv\oldSequelizeModels                                                                                                                   |        144 |      5,894 |        144 |        288 |      6,326 |
| Archiv\oldSequelizeModels\models                                                                                                            |         46 |      1,671 |         46 |         92 |      1,809 |
| Archiv\oldSequelizeModels\modelsAthletica1                                                                                                  |         47 |      2,344 |         47 |         94 |      2,485 |
| Archiv\oldSequelizeModels\models_live                                                                                                       |          5 |        208 |          5 |         10 |        223 |
| Archiv\oldSequelizeModels\models_old                                                                                                        |         46 |      1,671 |         46 |         92 |      1,809 |
| Archiv\wsExtension 2021-03 2                                                                                                                |          2 |        822 |        838 |        422 |      2,082 |
| Archiv\wsExtension 2021-03-29                                                                                                               |          2 |      1,000 |        908 |        492 |      2,400 |
| Archiv\wsExtension before heartbeat                                                                                                         |          6 |      1,496 |      1,340 |        612 |      3,448 |
| Archiv\wsExtension with heartbeat 2021-03                                                                                                   |          2 |      1,236 |      1,142 |        582 |      2,960 |
